Vteam,Hteam
Houston Rockets,Charlotte Hornets
Washington Wizards,Chicago Bulls
Toronto Raptors,Memphis Grizzlies
Minnesota Timberwolves,Dallas Mavericks
Golden State Warriors,San Antonio Spurs
Cleveland Cavaliers,Phoenix Suns
Milwaukee Bucks,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
Brooklyn Nets,Detroit Pistons
New York Knicks,Miami Heat
Houston Rockets,New Orleans Pelicans
Golden State Warriors,San Antonio Spurs
Orlando Magic,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
Boston Celtics,Utah Jazz
Toronto Raptors,Washington Wizards
Atlanta Hawks,Dallas Mavericks
Indiana Pacers,Brooklyn Nets
Charlotte Hornets,Memphis Grizzlies
Los Angeles Clippers,Minnesota Timberwolves
New Orleans Pelicans,Chicago Bulls
Cleveland Cavaliers,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
Milwaukee Bucks,Phoenix Suns
Toronto Raptors,Boston Celtics
Miami Heat,Houston Rockets
Indiana Pacers,Detroit Pistons
Orlando Magic,Golden State Warriors
Philadelphia 76ers,Portland Trail Blazers
Minnesota Timberwolves,Charlotte Hornets
New York Knicks,Washington Wizards
San Antonio Spurs,Atlanta Hawks
New Orleans Pelicans,Dallas Mavericks
Detroit Pistons,Boston Celtics
Los Angeles Clippers,Chicago Bulls
Oklahoma City Thunder,Denver Nuggets
Milwaukee Bucks,Utah Jazz
Memphis Grizzlies,Los Angeles Lakers
Cleveland Cavaliers,Portland Trail Blazers
Orlando Magic,Sacramento Kings
Philadelphia 76ers,Phoenix Suns
Indiana Pacers,Atlanta Hawks
Houston Rockets,New York Knicks
Brooklyn Nets,Golden State Warriors
Miami Heat,Utah Jazz
Boston Celtics,Washington Wizards
San Antonio Spurs,Charlotte Hornets
New Orleans Pelicans,Detroit Pistons
Minnesota Timberwolves,Toronto Raptors
Portland Trail Blazers,Dallas Mavericks
Milwaukee Bucks,Oklahoma City Thunder
Orlando Magic,Phoenix Suns
Los Angeles Lakers,Denver Nuggets
Cleveland Cavaliers,Los Angeles Clippers
Memphis Grizzlies,Sacramento Kings
Chicago Bulls,Indiana Pacers
Houston Rockets,Washington Wizards
Atlanta Hawks,New York Knicks
Philadelphia 76ers,Utah Jazz
Cleveland Cavaliers,Golden State Warriors
Miami Heat,Los Angeles Clippers
Brooklyn Nets,Sacramento Kings
Denver Nuggets,Boston Celtics
New Orleans Pelicans,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder
Brooklyn Nets,Phoenix Suns
New York Knicks,Orlando Magic
Atlanta Hawks,Boston Celtics
Houston Rockets,Philadelphia 76ers
Detroit Pistons,Chicago Bulls
Indiana Pacers,Minnesota Timberwolves
Denver Nuggets,Washington Wizards
Oklahoma City Thunder,Memphis Grizzlies
Portland Trail Blazers,New Orleans Pelicans
Miami Heat,Golden State Warriors
Utah Jazz,Los Angeles Clippers
