Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Wloc,LTeam,WTeam
Sat Dec 14 2019,5:00p,San Antonio Spurs,121,Phoenix Suns,119,Box Score,OT,20013,at Mexico City Mexico,V,Phoenix Suns,San Antonio Spurs
Sat Dec 14 2019,7:30p,Brooklyn Nets,102,Toronto Raptors,110,Box Score,,19800,,H,Brooklyn Nets,Toronto Raptors
Sat Dec 14 2019,8:00p,Los Angeles Clippers,106,Chicago Bulls,109,Box Score,,18426,,H,Los Angeles Clippers,Chicago Bulls
Sat Dec 14 2019,8:00p,Washington Wizards,111,Memphis Grizzlies,128,Box Score,,15631,,H,Washington Wizards,Memphis Grizzlies
Sat Dec 14 2019,8:30p,Miami Heat,122,Dallas Mavericks,118,Box Score,OT,20333,,V,Dallas Mavericks,Miami Heat
Sat Dec 14 2019,8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,Box Score,,17481,,H,Cleveland Cavaliers,Milwaukee Bucks
Sat Dec 14 2019,9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,Box Score,,19520,,H,Oklahoma City Thunder,Denver Nuggets
Sat Dec 14 2019,9:00p,Detroit Pistons,115,Houston Rockets,107,Box Score,,18055,,V,Houston Rockets,Detroit Pistons
Sun Dec 15 2019,3:30p,Orlando Magic,130,New Orleans Pelicans,119,Box Score,,15388,,V,New Orleans Pelicans,Orlando Magic
Sun Dec 15 2019,5:00p,Charlotte Hornets,85,Indiana Pacers,107,Box Score,,16061,,H,Charlotte Hornets,Indiana Pacers
Sun Dec 15 2019,6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,Box Score,,16962,,V,Atlanta Hawks,Los Angeles Lakers
Sun Dec 15 2019,6:00p,Philadelphia 76ers,89,Brooklyn Nets,109,Box Score,,17732,,H,Philadelphia 76ers,Brooklyn Nets
Sun Dec 15 2019,8:00p,New York Knicks,105,Denver Nuggets,111,Box Score,,18867,,H,New York Knicks,Denver Nuggets
Sun Dec 15 2019,8:30p,Sacramento Kings,100,Golden State Warriors,79,Box Score,,18064,,V,Golden State Warriors,Sacramento Kings
Mon Dec 16 2019,7:00p,Washington Wizards,133,Detroit Pistons,119,Box Score,,14632,,V,Detroit Pistons,Washington Wizards
Mon Dec 16 2019,7:30p,Cleveland Cavaliers,113,Toronto Raptors,133,Box Score,,19800,,H,Cleveland Cavaliers,Toronto Raptors
Mon Dec 16 2019,8:00p,San Antonio Spurs,107,Houston Rockets,109,Box Score,,18055,,H,San Antonio Spurs,Houston Rockets
Mon Dec 16 2019,8:00p,Miami Heat,111,Memphis Grizzlies,118,Box Score,,14021,,H,Miami Heat,Memphis Grizzlies
Mon Dec 16 2019,8:00p,Dallas Mavericks,120,Milwaukee Bucks,116,Box Score,,17727,,V,Milwaukee Bucks,Dallas Mavericks
Mon Dec 16 2019,8:00p,Chicago Bulls,106,Oklahoma City Thunder,109,Box Score,,18203,,H,Chicago Bulls,Oklahoma City Thunder
Mon Dec 16 2019,9:00p,Portland Trail Blazers,111,Phoenix Suns,110,Box Score,,14193,,V,Phoenix Suns,Portland Trail Blazers
Tue Dec 17 2019,7:00p,Sacramento Kings,102,Charlotte Hornets,110,Box Score,,13229,,H,Sacramento Kings,Charlotte Hornets
Tue Dec 17 2019,7:00p,Los Angeles Lakers,102,Indiana Pacers,105,Box Score,,17923,,H,Los Angeles Lakers,Indiana Pacers
Tue Dec 17 2019,7:30p,Atlanta Hawks,120,New York Knicks,143,Box Score,,18268,,H,Atlanta Hawks,New York Knicks
Tue Dec 17 2019,8:00p,Brooklyn Nets,108,New Orleans Pelicans,101,Box Score,OT,15177,,V,New Orleans Pelicans,Brooklyn Nets
Tue Dec 17 2019,9:00p,Orlando Magic,102,Utah Jazz,109,Box Score,,18306,,H,Orlando Magic,Utah Jazz
Tue Dec 17 2019,10:30p,Phoenix Suns,99,Los Angeles Clippers,120,Box Score,,19068,,H,Phoenix Suns,Los Angeles Clippers
Wed Dec 18 2019,7:00p,Charlotte Hornets,98,Cleveland Cavaliers,100,Box Score,,17023,,H,Charlotte Hornets,Cleveland Cavaliers
Wed Dec 18 2019,7:00p,Toronto Raptors,112,Detroit Pistons,99,Box Score,,15319,,V,Detroit Pistons,Toronto Raptors
Wed Dec 18 2019,7:00p,Miami Heat,108,Philadelphia 76ers,104,Box Score,,20715,,V,Philadelphia 76ers,Miami Heat
Wed Dec 18 2019,7:00p,Chicago Bulls,110,Washington Wizards,109,Box Score,OT,14987,,V,Washington Wizards,Chicago Bulls
Wed Dec 18 2019,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,Box Score,,12490,,V,Minnesota Timberwolves,New Orleans Pelicans
Wed Dec 18 2019,8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,Box Score,,18203,,H,Memphis Grizzlies,Oklahoma City Thunder
Wed Dec 18 2019,9:00p,Orlando Magic,104,Denver Nuggets,113,Box Score,,18182,,H,Orlando Magic,Denver Nuggets
Wed Dec 18 2019,9:30p,Boston Celtics,109,Dallas Mavericks,103,Box Score,,20181,,V,Dallas Mavericks,Boston Celtics
Wed Dec 18 2019,10:00p,Golden State Warriors,112,Portland Trail Blazers,122,Box Score,,19393,,H,Golden State Warriors,Portland Trail Blazers
Thu Dec 19 2019,7:30p,Utah Jazz,111,Atlanta Hawks,106,Box Score,,16739,,V,Atlanta Hawks,Utah Jazz
Thu Dec 19 2019,8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,Box Score,,18051,,H,Los Angeles Lakers,Milwaukee Bucks
Thu Dec 19 2019,8:30p,Brooklyn Nets,105,San Antonio Spurs,118,Box Score,,18354,,H,Brooklyn Nets,San Antonio Spurs
Thu Dec 19 2019,10:30p,Houston Rockets,122,Los Angeles Clippers,117,Box Score,,19068,,V,Los Angeles Clippers,Houston Rockets
Fri Dec 20 2019,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,Box Score,,19432,,H,Memphis Grizzlies,Cleveland Cavaliers
Fri Dec 20 2019,7:00p,Sacramento Kings,105,Indiana Pacers,119,Box Score,,14649,,H,Sacramento Kings,Indiana Pacers
Fri Dec 20 2019,7:30p,Detroit Pistons,93,Boston Celtics,114,Box Score,,19156,,H,Detroit Pistons,Boston Celtics
Fri Dec 20 2019,7:30p,Washington Wizards,118,Toronto Raptors,122,Box Score,,19800,,H,Washington Wizards,Toronto Raptors
Fri Dec 20 2019,8:00p,New York Knicks,114,Miami Heat,129,Box Score,,19704,,H,New York Knicks,Miami Heat
Fri Dec 20 2019,8:00p,Phoenix Suns,108,Oklahoma City Thunder,126,Box Score,,18203,,H,Phoenix Suns,Oklahoma City Thunder
Fri Dec 20 2019,8:00p,Dallas Mavericks,117,Philadelphia 76ers,98,Box Score,,20778,,V,Philadelphia 76ers,Dallas Mavericks
Fri Dec 20 2019,9:00p,Minnesota Timberwolves,100,Denver Nuggets,109,Box Score,,19520,,H,Minnesota Timberwolves,Denver Nuggets
Fri Dec 20 2019,10:00p,Orlando Magic,103,Portland Trail Blazers,118,Box Score,,19393,,H,Orlando Magic,Portland Trail Blazers
Fri Dec 20 2019,10:30p,New Orleans Pelicans,102,Golden State Warriors,106,Box Score,,18064,,H,New Orleans Pelicans,Golden State Warriors
Sat Dec 21 2019,5:00p,Utah Jazz,114,Charlotte Hornets,107,Box Score,,16187,,V,Charlotte Hornets,Utah Jazz
Sat Dec 21 2019,6:00p,Atlanta Hawks,112,Brooklyn Nets,122,Box Score,,16496,,H,Atlanta Hawks,Brooklyn Nets
Sat Dec 21 2019,7:00p,Chicago Bulls,119,Detroit Pistons,107,Box Score,,15948,,V,Detroit Pistons,Chicago Bulls
Sat Dec 21 2019,7:00p,Washington Wizards,108,Philadelphia 76ers,125,Box Score,,20529,,H,Washington Wizards,Philadelphia 76ers
Sat Dec 21 2019,7:30p,Milwaukee Bucks,123,New York Knicks,102,Box Score,,18124,,V,New York Knicks,Milwaukee Bucks
Sat Dec 21 2019,8:00p,Sacramento Kings,115,Memphis Grizzlies,119,Box Score,,15603,,H,Sacramento Kings,Memphis Grizzlies
Sat Dec 21 2019,8:30p,Los Angeles Clippers,134,San Antonio Spurs,109,Box Score,,18354,,V,San Antonio Spurs,Los Angeles Clippers
Sat Dec 21 2019,9:00p,Houston Rockets,139,Phoenix Suns,125,Box Score,,16061,,V,Phoenix Suns,Houston Rockets
Sat Dec 21 2019,10:00p,Minnesota Timberwolves,106,Portland Trail Blazers,113,Box Score,,19393,,H,Minnesota Timberwolves,Portland Trail Blazers
Sun Dec 22 2019,3:30p,Dallas Mavericks,107,Toronto Raptors,110,Box Score,,19800,,H,Dallas Mavericks,Toronto Raptors
Sun Dec 22 2019,6:00p,Charlotte Hornets,93,Boston Celtics,119,Box Score,,19156,,H,Charlotte Hornets,Boston Celtics
Sun Dec 22 2019,7:00p,Indiana Pacers,89,Milwaukee Bucks,117,Box Score,,18029,,H,Indiana Pacers,Milwaukee Bucks
Sun Dec 22 2019,7:00p,Los Angeles Clippers,112,Oklahoma City Thunder,118,Box Score,,18203,,H,Los Angeles Clippers,Oklahoma City Thunder
Sun Dec 22 2019,9:30p,Denver Nuggets,128,Los Angeles Lakers,104,Box Score,,18997,,V,Los Angeles Lakers,Denver Nuggets
Mon Dec 23 2019,7:00p,Atlanta Hawks,118,Cleveland Cavaliers,121,Box Score,,18007,,H,Atlanta Hawks,Cleveland Cavaliers
Mon Dec 23 2019,7:00p,Philadelphia 76ers,125,Detroit Pistons,109,Box Score,,16476,,V,Detroit Pistons,Philadelphia 76ers
Mon Dec 23 2019,7:00p,Toronto Raptors,115,Indiana Pacers,120,Box Score,OT,17164,,H,Toronto Raptors,Indiana Pacers
Mon Dec 23 2019,7:00p,Washington Wizards,121,New York Knicks,115,Box Score,,19413,,V,New York Knicks,Washington Wizards
Mon Dec 23 2019,7:00p,Chicago Bulls,95,Orlando Magic,103,Box Score,,18846,,H,Chicago Bulls,Orlando Magic
Mon Dec 23 2019,7:30p,Utah Jazz,104,Miami Heat,107,Box Score,,19890,,H,Utah Jazz,Miami Heat
Mon Dec 23 2019,8:00p,San Antonio Spurs,145,Memphis Grizzlies,115,Box Score,,16776,,V,Memphis Grizzlies,San Antonio Spurs
Mon Dec 23 2019,9:00p,Denver Nuggets,113,Phoenix Suns,111,Box Score,,16041,,V,Phoenix Suns,Denver Nuggets
Mon Dec 23 2019,10:00p,New Orleans Pelicans,102,Portland Trail Blazers,94,Box Score,,19499,,V,Portland Trail Blazers,New Orleans Pelicans
Mon Dec 23 2019,10:00p,Houston Rockets,113,Sacramento Kings,104,Box Score,,17583,,V,Sacramento Kings,Houston Rockets
Mon Dec 23 2019,10:30p,Minnesota Timberwolves,104,Golden State Warriors,113,Box Score,,18064,,H,Minnesota Timberwolves,Golden State Warriors
Wed Dec 25 2019,12:00p,Boston Celtics,118,Toronto Raptors,102,Box Score,,19800,,V,Toronto Raptors,Boston Celtics
Wed Dec 25 2019,2:30p,Milwaukee Bucks,109,Philadelphia 76ers,121,Box Score,,21028,,H,Milwaukee Bucks,Philadelphia 76ers
Wed Dec 25 2019,5:00p,Houston Rockets,104,Golden State Warriors,116,Box Score,,18064,,H,Houston Rockets,Golden State Warriors
Wed Dec 25 2019,8:00p,Los Angeles Clippers,111,Los Angeles Lakers,106,Box Score,,18997,,V,Los Angeles Lakers,Los Angeles Clippers
Wed Dec 25 2019,10:30p,New Orleans Pelicans,112,Denver Nuggets,100,Box Score,,19520,,V,Denver Nuggets,New Orleans Pelicans
Thu Dec 26 2019,7:00p,Washington Wizards,102,Detroit Pistons,132,Box Score,,17188,,H,Washington Wizards,Detroit Pistons
Thu Dec 26 2019,7:30p,New York Knicks,94,Brooklyn Nets,82,Box Score,,17732,,V,Brooklyn Nets,New York Knicks
Thu Dec 26 2019,8:00p,San Antonio Spurs,98,Dallas Mavericks,102,Box Score,,20427,,H,San Antonio Spurs,Dallas Mavericks
Thu Dec 26 2019,8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,Box Score,,18203,,V,Oklahoma City Thunder,Memphis Grizzlies
Thu Dec 26 2019,10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,Box Score,2OT,17583,,V,Sacramento Kings,Minnesota Timberwolves
Thu Dec 26 2019,10:30p,Portland Trail Blazers,115,Utah Jazz,121,Box Score,,18306,,H,Portland Trail Blazers,Utah Jazz
Fri Dec 27 2019,4:00p,Cleveland Cavaliers,117,Boston Celtics,129,Box Score,,19156,,H,Cleveland Cavaliers,Boston Celtics
Fri Dec 27 2019,7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,Box Score,OT,18418,,V,Charlotte Hornets,Oklahoma City Thunder
Fri Dec 27 2019,7:00p,Philadelphia 76ers,97,Orlando Magic,98,Box Score,,17311,,H,Philadelphia 76ers,Orlando Magic
Fri Dec 27 2019,7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,Box Score,,17358,,V,Atlanta Hawks,Milwaukee Bucks
Fri Dec 27 2019,8:00p,Indiana Pacers,112,Miami Heat,113,Box Score,,19767,,H,Indiana Pacers,Miami Heat
Fri Dec 27 2019,10:30p,Phoenix Suns,96,Golden State Warriors,105,Box Score,,18064,,H,Phoenix Suns,Golden State Warriors
Sat Dec 28 2019,5:00p,Memphis Grizzlies,110,Denver Nuggets,119,Box Score,,19697,,H,Memphis Grizzlies,Denver Nuggets
Sat Dec 28 2019,7:00p,Toronto Raptors,113,Boston Celtics,97,Box Score,,19156,,V,Boston Celtics,Toronto Raptors
Sat Dec 28 2019,7:00p,Indiana Pacers,98,New Orleans Pelicans,120,Box Score,,15391,,H,Indiana Pacers,New Orleans Pelicans
Sat Dec 28 2019,8:00p,Atlanta Hawks,81,Chicago Bulls,116,Box Score,,21496,,H,Atlanta Hawks,Chicago Bulls
Sat Dec 28 2019,8:00p,Brooklyn Nets,98,Houston Rockets,108,Box Score,,18306,,H,Brooklyn Nets,Houston Rockets
Sat Dec 28 2019,8:00p,Philadelphia 76ers,116,Miami Heat,117,Box Score,OT,19865,,H,Philadelphia 76ers,Miami Heat
Sat Dec 28 2019,8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,Box Score,,15411,,V,Minnesota Timberwolves,Cleveland Cavaliers
Sat Dec 28 2019,8:00p,New York Knicks,107,Washington Wizards,100,Box Score,,19033,,V,Washington Wizards,New York Knicks
Sat Dec 28 2019,8:30p,Dallas Mavericks,141,Golden State Warriors,121,Box Score,,18064,,V,Golden State Warriors,Dallas Mavericks
Sat Dec 28 2019,8:30p,Orlando Magic,100,Milwaukee Bucks,111,Box Score,,17920,,H,Orlando Magic,Milwaukee Bucks
Sat Dec 28 2019,8:30p,Detroit Pistons,109,San Antonio Spurs,136,Box Score,,18524,,H,Detroit Pistons,San Antonio Spurs
Sat Dec 28 2019,9:00p,Phoenix Suns,112,Sacramento Kings,110,Box Score,,17583,,V,Sacramento Kings,Phoenix Suns
Sat Dec 28 2019,10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,Box Score,,19960,,V,Portland Trail Blazers,Los Angeles Lakers
Sat Dec 28 2019,10:30p,Utah Jazz,120,Los Angeles Clippers,107,Box Score,,19068,,V,Los Angeles Clippers,Utah Jazz
Sun Dec 29 2019,6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,Box Score,,19800,,V,Toronto Raptors,Oklahoma City Thunder
Sun Dec 29 2019,8:00p,Sacramento Kings,115,Denver Nuggets,120,Box Score,,19520,,H,Sacramento Kings,Denver Nuggets
Sun Dec 29 2019,8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,Box Score,,16842,,H,Charlotte Hornets,Memphis Grizzlies
Sun Dec 29 2019,8:00p,Houston Rockets,112,New Orleans Pelicans,127,Box Score,,17712,,H,Houston Rockets,New Orleans Pelicans
Sun Dec 29 2019,9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,Box Score,,18997,,H,Dallas Mavericks,Los Angeles Lakers
Mon Dec 30 2019,7:00p,Atlanta Hawks,101,Orlando Magic,93,Box Score,,17784,,V,Orlando Magic,Atlanta Hawks
Mon Dec 30 2019,7:00p,Miami Heat,105,Washington Wizards,123,Box Score,,20476,,H,Miami Heat,Washington Wizards
Mon Dec 30 2019,8:00p,Milwaukee Bucks,123,Chicago Bulls,102,Box Score,,21954,,V,Chicago Bulls,Milwaukee Bucks
Mon Dec 30 2019,8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,Box Score,OT,15824,,H,Brooklyn Nets,Minnesota Timberwolves
Mon Dec 30 2019,9:00p,Detroit Pistons,81,Utah Jazz,104,Box Score,,18306,,H,Detroit Pistons,Utah Jazz
Mon Dec 30 2019,10:00p,Phoenix Suns,122,Portland Trail Blazers,116,Box Score,,19896,,V,Portland Trail Blazers,Phoenix Suns
Tue Dec 31 2019,3:00p,Boston Celtics,109,Charlotte Hornets,92,Box Score,,19216,,V,Charlotte Hornets,Boston Celtics
Tue Dec 31 2019,3:00p,Philadelphia 76ers,97,Indiana Pacers,115,Box Score,,17923,,H,Philadelphia 76ers,Indiana Pacers
Tue Dec 31 2019,5:00p,Los Angeles Clippers,105,Sacramento Kings,87,Box Score,,16231,,V,Sacramento Kings,Los Angeles Clippers
Tue Dec 31 2019,7:00p,Denver Nuggets,104,Houston Rockets,130,Box Score,,18055,,H,Denver Nuggets,Houston Rockets
Tue Dec 31 2019,7:00p,Golden State Warriors,113,San Antonio Spurs,117,Box Score,OT,18354,,H,Golden State Warriors,San Antonio Spurs
Tue Dec 31 2019,7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,Box Score,,19800,,H,Cleveland Cavaliers,Toronto Raptors
Tue Dec 31 2019,8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,Box Score,,18203,,H,Dallas Mavericks,Oklahoma City Thunder
Wed Jan 1 2020,6:00p,Orlando Magic,122,Washington Wizards,101,Box Score,,14921,,V,Washington Wizards,Orlando Magic
Wed Jan 1 2020,7:30p,Portland Trail Blazers,93,New York Knicks,117,Box Score,,19812,,H,Portland Trail Blazers,New York Knicks
Wed Jan 1 2020,8:00p,Minnesota Timberwolves,104,Milwaukee Bucks,106,Box Score,,17819,,H,Minnesota Timberwolves,Milwaukee Bucks
Wed Jan 1 2020,10:30p,Phoenix Suns,107,Los Angeles Lakers,117,Box Score,,18997,,H,Phoenix Suns,Los Angeles Lakers
Thu Jan 2 2020,7:00p,Charlotte Hornets,109,Cleveland Cavaliers,106,Box Score,,17859,,V,Cleveland Cavaliers,Charlotte Hornets
Thu Jan 2 2020,7:00p,Denver Nuggets,124,Indiana Pacers,116,Box Score,,16688,,V,Indiana Pacers,Denver Nuggets
Thu Jan 2 2020,7:30p,Toronto Raptors,76,Miami Heat,84,Box Score,,19939,,H,Toronto Raptors,Miami Heat
Thu Jan 2 2020,8:00p,Utah Jazz,102,Chicago Bulls,98,Box Score,,19398,,V,Chicago Bulls,Utah Jazz
Thu Jan 2 2020,8:00p,Golden State Warriors,84,Minnesota Timberwolves,99,Box Score,,15477,,H,Golden State Warriors,Minnesota Timberwolves
Thu Jan 2 2020,8:30p,Brooklyn Nets,111,Dallas Mavericks,123,Box Score,,20289,,H,Brooklyn Nets,Dallas Mavericks
Thu Jan 2 2020,8:30p,Oklahoma City Thunder,109,San Antonio Spurs,103,Box Score,,18354,,V,San Antonio Spurs,Oklahoma City Thunder
Thu Jan 2 2020,10:00p,Memphis Grizzlies,123,Sacramento Kings,128,Box Score,,17351,,H,Memphis Grizzlies,Sacramento Kings
Thu Jan 2 2020,10:30p,Detroit Pistons,112,Los Angeles Clippers,126,Box Score,,19068,,H,Detroit Pistons,Los Angeles Clippers
Fri Jan 3 2020,7:00p,Atlanta Hawks,106,Boston Celtics,109,Box Score,,19156,,H,Atlanta Hawks,Boston Celtics
Fri Jan 3 2020,7:00p,Miami Heat,85,Orlando Magic,105,Box Score,,17198,,H,Miami Heat,Orlando Magic
Fri Jan 3 2020,7:00p,Portland Trail Blazers,122,Washington Wizards,103,Box Score,,17945,,V,Washington Wizards,Portland Trail Blazers
Fri Jan 3 2020,8:00p,Philadelphia 76ers,108,Houston Rockets,118,Box Score,,18055,,H,Philadelphia 76ers,Houston Rockets
Fri Jan 3 2020,9:00p,New York Knicks,112,Phoenix Suns,120,Box Score,,18055,,H,New York Knicks,Phoenix Suns
Fri Jan 3 2020,10:30p,New Orleans Pelicans,113,Los Angeles Lakers,123,Box Score,,18997,,H,New Orleans Pelicans,Los Angeles Lakers
Sat Jan 4 2020,3:30p,Memphis Grizzlies,140,Los Angeles Clippers,114,Box Score,,19068,,V,Los Angeles Clippers,Memphis Grizzlies
Sat Jan 4 2020,6:00p,Toronto Raptors,121,Brooklyn Nets,102,Box Score,,17732,,V,Brooklyn Nets,Toronto Raptors
Sat Jan 4 2020,7:00p,Utah Jazz,109,Orlando Magic,96,Box Score,,16913,,V,Orlando Magic,Utah Jazz
Sat Jan 4 2020,7:30p,Indiana Pacers,111,Atlanta Hawks,116,Box Score,,16420,,H,Indiana Pacers,Atlanta Hawks
Sat Jan 4 2020,7:30p,Oklahoma City Thunder,121,Cleveland Cavaliers,106,Box Score,,19432,,V,Cleveland Cavaliers,Oklahoma City Thunder
Sat Jan 4 2020,8:00p,Boston Celtics,111,Chicago Bulls,104,Box Score,,21130,,V,Chicago Bulls,Boston Celtics
Sat Jan 4 2020,8:00p,Denver Nuggets,114,Washington Wizards,128,Box Score,,16233,,H,Denver Nuggets,Washington Wizards
Sat Jan 4 2020,8:30p,Charlotte Hornets,123,Dallas Mavericks,120,Box Score,OT,20327,,V,Dallas Mavericks,Charlotte Hornets
Sat Jan 4 2020,8:30p,Detroit Pistons,111,Golden State Warriors,104,Box Score,,18064,,V,Golden State Warriors,Detroit Pistons
Sat Jan 4 2020,8:30p,San Antonio Spurs,118,Milwaukee Bucks,127,Box Score,,18002,,H,San Antonio Spurs,Milwaukee Bucks
Sat Jan 4 2020,10:00p,New Orleans Pelicans,117,Sacramento Kings,115,Box Score,,16808,,V,Sacramento Kings,New Orleans Pelicans
Sun Jan 5 2020,3:30p,New York Knicks,132,Los Angeles Clippers,135,Box Score,,19068,,H,New York Knicks,Los Angeles Clippers
Sun Jan 5 2020,6:00p,Portland Trail Blazers,111,Miami Heat,122,Box Score,,19846,,H,Portland Trail Blazers,Miami Heat
Sun Jan 5 2020,7:30p,Minnesota Timberwolves,118,Cleveland Cavaliers,103,Box Score,,16159,,V,Cleveland Cavaliers,Minnesota Timberwolves
Sun Jan 5 2020,8:00p,Memphis Grizzlies,121,Phoenix Suns,114,Box Score,,14181,,V,Phoenix Suns,Memphis Grizzlies
Sun Jan 5 2020,10:00p,Detroit Pistons,99,Los Angeles Lakers,106,Box Score,,18997,,H,Detroit Pistons,Los Angeles Lakers
Mon Jan 6 2020,7:00p,Indiana Pacers,115,Charlotte Hornets,104,Box Score,,13009,,V,Charlotte Hornets,Indiana Pacers
Mon Jan 6 2020,7:00p,Brooklyn Nets,89,Orlando Magic,101,Box Score,,15008,,H,Brooklyn Nets,Orlando Magic
Mon Jan 6 2020,7:00p,Oklahoma City Thunder,113,Philadelphia 76ers,120,Box Score,,20561,,H,Oklahoma City Thunder,Philadelphia 76ers
Mon Jan 6 2020,7:00p,Boston Celtics,94,Washington Wizards,99,Box Score,,17963,,H,Boston Celtics,Washington Wizards
Mon Jan 6 2020,7:30p,Denver Nuggets,123,Atlanta Hawks,115,Box Score,,15286,,V,Atlanta Hawks,Denver Nuggets
Mon Jan 6 2020,8:00p,Utah Jazz,128,New Orleans Pelicans,126,Box Score,,14138,,V,New Orleans Pelicans,Utah Jazz
Mon Jan 6 2020,8:30p,Chicago Bulls,110,Dallas Mavericks,118,Box Score,,20238,,H,Chicago Bulls,Dallas Mavericks
Mon Jan 6 2020,8:30p,Milwaukee Bucks,104,San Antonio Spurs,126,Box Score,,18354,,H,Milwaukee Bucks,San Antonio Spurs
Mon Jan 6 2020,10:00p,Golden State Warriors,98,Sacramento Kings,111,Box Score,,15819,,H,Golden State Warriors,Sacramento Kings
Tue Jan 7 2020,7:00p,Detroit Pistons,115,Cleveland Cavaliers,113,Box Score,,17274,,V,Cleveland Cavaliers,Detroit Pistons
Tue Jan 7 2020,7:00p,Portland Trail Blazers,101,Toronto Raptors,99,Box Score,,19800,,V,Toronto Raptors,Portland Trail Blazers
Tue Jan 7 2020,7:30p,Oklahoma City Thunder,111,Brooklyn Nets,103,Box Score,OT,15677,,V,Brooklyn Nets,Oklahoma City Thunder
Tue Jan 7 2020,8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,119,Box Score,,14117,,H,Minnesota Timberwolves,Memphis Grizzlies
Tue Jan 7 2020,9:00p,Sacramento Kings,114,Phoenix Suns,103,Box Score,,14134,,V,Phoenix Suns,Sacramento Kings
Tue Jan 7 2020,10:30p,New York Knicks,87,Los Angeles Lakers,117,Box Score,,18997,,H,New York Knicks,Los Angeles Lakers
Wed Jan 8 2020,7:00p,San Antonio Spurs,129,Boston Celtics,114,Box Score,,19156,,V,Boston Celtics,San Antonio Spurs
Wed Jan 8 2020,7:00p,Toronto Raptors,112,Charlotte Hornets,110,Box Score,OT,13965,,V,Charlotte Hornets,Toronto Raptors
Wed Jan 8 2020,7:00p,Miami Heat,122,Indiana Pacers,108,Box Score,,17040,,V,Indiana Pacers,Miami Heat
Wed Jan 8 2020,7:00p,Washington Wizards,89,Orlando Magic,123,Box Score,,16013,,H,Washington Wizards,Orlando Magic
Wed Jan 8 2020,7:30p,Houston Rockets,122,Atlanta Hawks,115,Box Score,,16514,,V,Atlanta Hawks,Houston Rockets
Wed Jan 8 2020,7:30p,Denver Nuggets,107,Dallas Mavericks,106,Box Score,,20314,,V,Dallas Mavericks,Denver Nuggets
Wed Jan 8 2020,8:00p,Chicago Bulls,108,New Orleans Pelicans,123,Box Score,,15324,,H,Chicago Bulls,New Orleans Pelicans
Wed Jan 8 2020,9:00p,New York Knicks,104,Utah Jazz,128,Box Score,,18306,,H,New York Knicks,Utah Jazz
Wed Jan 8 2020,10:00p,Milwaukee Bucks,107,Golden State Warriors,98,Box Score,,18064,,V,Golden State Warriors,Milwaukee Bucks
Thu Jan 9 2020,7:00p,Cleveland Cavaliers,115,Detroit Pistons,112,Box Score,OT,13445,,V,Detroit Pistons,Cleveland Cavaliers
Thu Jan 9 2020,7:00p,Boston Celtics,98,Philadelphia 76ers,109,Box Score,,20822,,H,Boston Celtics,Philadelphia 76ers
Thu Jan 9 2020,8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,116,Box Score,,13720,,H,Portland Trail Blazers,Minnesota Timberwolves
Thu Jan 9 2020,9:30p,Houston Rockets,92,Oklahoma City Thunder,113,Box Score,,18203,,H,Houston Rockets,Oklahoma City Thunder
Fri Jan 10 2020,7:00p,Atlanta Hawks,101,Washington Wizards,111,Box Score,,16360,,H,Atlanta Hawks,Washington Wizards
Fri Jan 10 2020,7:15p,New Orleans Pelicans,123,New York Knicks,111,Box Score,,18003,,V,New York Knicks,New Orleans Pelicans
Fri Jan 10 2020,7:30p,Miami Heat,113,Brooklyn Nets,117,Box Score,,16011,,H,Miami Heat,Brooklyn Nets
Fri Jan 10 2020,8:00p,Indiana Pacers,116,Chicago Bulls,105,Box Score,,20229,,V,Chicago Bulls,Indiana Pacers
Fri Jan 10 2020,8:00p,San Antonio Spurs,121,Memphis Grizzlies,134,Box Score,,16448,,H,San Antonio Spurs,Memphis Grizzlies
Fri Jan 10 2020,9:00p,Orlando Magic,94,Phoenix Suns,98,Box Score,,14562,,H,Orlando Magic,Phoenix Suns
Fri Jan 10 2020,9:00p,Charlotte Hornets,92,Utah Jazz,109,Box Score,,18306,,H,Charlotte Hornets,Utah Jazz
